epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7548,1.14599,3.66538,1.5824,0.0088,1,0.20859,0.12253,0.777,4.27157,1.67874,2.727e-05,2.727e-05,2.727e-05
2,218.614,1.10727,3.6016,1.60511,0.02235,1,0.39233,0.2839,0.65628,4.26241,1.54924,6.15302e-05,6.15302e-05,6.15302e-05
3,359.022,0.86111,3.29704,1.41158,0.09814,1,0.44836,0.3542,0.63071,4.21413,1.47289,9.33907e-05,9.33907e-05,9.33907e-05
4,506.066,0.83724,2.87179,1.3861,0.07044,1,0.51438,0.40309,0.61117,4.14349,1.42531,0.000122851,0.000122851,0.000122851
5,673.929,0.78075,2.49939,1.41648,0.06723,1,0.50737,0.40298,0.6126,4.04148,1.40261,0.000149912,0.000149912,0.000149912
6,949.965,0.85147,2.30822,1.37089,0.0662,1,0.51002,0.4005,0.65631,3.94996,1.42755,0.000174573,0.000174573,0.000174573
7,1054.89,0.87846,2.09271,1.35183,0.08275,1,0.50559,0.36081,0.89578,3.89986,1.6511,0.000196835,0.000196835,0.000196835
8,1224.04,0.79097,2.03338,1.3324,0.10318,1,0.53505,0.35754,0.94977,3.80369,1.75162,0.000216697,0.000216697,0.000216697
9,1281.5,0.68346,1.84005,1.26612,0.1115,1,0.54987,0.4021,0.90514,3.62252,1.65592,0.000234158,0.000234158,0.000234158
10,1331.41,0.83228,1.79785,1.37595,0.96107,0.49396,0.57002,0.43166,0.84516,3.11921,1.60562,0.000249221,0.000249221,0.000249221
11,1384.99,0.86158,1.72459,1.34299,0.96109,0.5,0.58309,0.42548,0.80223,2.64019,1.63339,0.000261883,0.000261883,0.000261883
12,1430.48,0.74056,1.63385,1.26148,0.94899,0.45833,0.55479,0.40742,0.92366,2.5862,1.72445,0.000272146,0.000272146,0.000272146
13,1463.42,0.79114,1.50824,1.3353,1,0.48959,0.55344,0.37483,1.03631,2.55814,1.94415,0.000280008,0.000280008,0.000280008
14,1496.01,0.73406,1.48148,1.29344,0.98238,0.5,0.55344,0.37684,1.0068,2.48469,1.90393,0.000285471,0.000285471,0.000285471
15,1525.46,0.78844,1.44781,1.33119,0.95647,0.5,0.56201,0.4126,0.98082,2.32769,1.78902,0.000288535,0.000288535,0.000288535
16,1553.93,0.7886,1.46657,1.28656,0.98968,0.5,0.56383,0.40384,1.08427,2.44877,1.94939,0.000289198,0.000289198,0.000289198
17,1588.34,0.76105,1.43879,1.26645,0.98966,0.5,0.55969,0.36811,1.19388,2.70066,2.18915,0.000287462,0.000287462,0.000287462
18,1618.67,0.77499,1.46723,1.28108,0.95281,0.5,0.56485,0.37499,1.27382,2.70651,2.31081,0.000283326,0.000283326,0.000283326
19,1647.57,0.73947,1.60372,1.23142,0.95716,0.5,0.5708,0.37482,1.23565,2.57181,2.15833,0.000276791,0.000276791,0.000276791
20,1677.11,0.67438,1.27792,1.194,0.9574,0.5,0.57517,0.38007,1.14984,2.49333,2.00836,0.000267855,0.000267855,0.000267855
21,1706.38,0.62882,2.0551,1.32642,0.99419,0.5,0.77278,0.54977,1.02242,2.27048,1.83239,0.00025652,0.00025652,0.00025652
22,1733.91,0.55966,1.84238,1.24207,0.99516,0.5,0.77278,0.55253,0.90837,2.24141,1.66733,0.000242785,0.000242785,0.000242785
23,1761.41,0.5919,1.90261,1.24652,1,0.49618,0.77625,0.55266,0.95064,2.22361,1.76539,0.00022665,0.00022665,0.00022665
24,1789.03,0.54544,1.75588,1.21626,0.99405,0.45833,0.77054,0.53772,0.96335,2.2135,1.82449,0.000208116,0.000208116,0.000208116
25,1816.24,0.66546,1.84816,1.33862,0.99837,0.45833,0.76706,0.55096,0.85033,2.12012,1.63907,0.000187181,0.000187181,0.000187181
26,1844.66,0.50417,1.61775,1.17862,0.88128,0.5,0.76674,0.58491,0.77684,2.0778,1.52039,0.000159075,0.000159075,0.000159075
27,1888.97,0.4729,1.69223,1.17338,0.90358,0.5,0.76352,0.59136,0.75684,2.08276,1.48712,0.000129078,0.000129078,0.000129078
28,1917.98,0.51416,1.6855,1.18627,0.82639,0.75,0.76224,0.61105,0.75706,2.123,1.47698,9.9081e-05,9.9081e-05,9.9081e-05
29,1946.52,0.4431,1.55189,1.12089,0.75946,0.75,0.76286,0.61292,0.76264,2.10622,1.47652,6.9084e-05,6.9084e-05,6.9084e-05
30,1974.5,0.52899,1.67284,1.23427,0.72723,0.75,0.76286,0.61686,0.76814,2.06698,1.4769,3.9087e-05,3.9087e-05,3.9087e-05
